strain,phage,interaction
GCA_011870965.1,SNMM01000032.1,0
GCA_013103975.1,AATSFI010000033.1,1
GCA_015072045.1,AAWTJI010000036.1,1
GCA_020312035.1,AATBGD010000068.1,0
GCA_011859345.1,AASRTT010000043.1,0
GCA_011839185.1,AAQYRB010000042.1,1
GCA_031929105.1,AAWSKA010000055.1,0
GCA_012813335.1,AATHXW010000052.1,1
GCA_011859885.1,AARADW010000033.1,1
GCA_002511815.1,NLVV01000042.1,1
GCA_014609635.1,AASREM010000044.1,0
GCA_027991885.1,AARPRG010000030.1,0
GCA_014702265.1,DADRQK010000026.1,0
GCA_012404645.2,AATHMN010000052.1,0
GCA_011975705.1,AARICW010000100.1,1
GCA_012581415.1,AASUOT010000101.1,1
GCA_012335495.1,AASHAP010000047.1,1
GCA_017756685.1,ABCGJP010000061.1,0
GCA_002155575.1,JAMSID010000057.1,0
GCA_011832335.1,ABHIBK010000101.1,0
GCA_002972995.1,AASMWH010000056.1,0
GCA_958401615.1,JAAQIV010000112.1,0
GCA_012767255.1,CAWNDD010000036.1,0
GCA_012183135.1,JZOQ01000142.1,0
GCA_000762385.1,JRIA01000034.1,1
GCA_031520405.1,AARCTR010000090.1,0
GCA_028759725.1,JAIQTP010000062.1,1
GCA_037491065.1,AATDMZ010000028.1,0
GCA_023190235.1,DAHBLH010000019.1,1
GCA_012197185.1,AARXPN010000100.1,1
GCA_023685925.1,DAHJUF010000014.1,1
GCA_012581575.1,JZNO01000024.1,0
GCA_032244795.1,ABNEDX010000049.1,1
GCA_022970415.1,JAGMTB010000070.1,1
GCA_020369125.1,DAFMKF010000040.1,0
GCA_001285845.1,ABLXRU010000032.1,0
GCA_017063475.1,DADIQU010000022.1,1
GCA_024674585.1,DAIUTA010000011.1,1
GCA_012159875.1,ABQJLD010000054.1,0
GCA_005046525.1,SQAN01000003.1,0
GCA_033641245.1,DAFSXT010000066.1,0
GCA_029832935.3,AAZWZB010000032.1,0
GCA_020353865.1,ABDAVH010000021.1,1
GCA_025787015.2,JAMEFI020000041.1,1
GCA_011969445.1,AARIMI010000059.1,1
GCA_001520495.1,ABCDVV010000033.1,0
GCA_016990935.1,AATKRY010000044.1,0
GCA_011859045.1,AARADE010000034.1,1
GCA_020894735.1,ABMBZT010000029.1,0
GCA_005043965.1,RRIJ01000067.1,1
GCA_013871655.1,ABAAMO010000055.1,0
GCA_027150265.1,JAKSXQ010000089.1,0
GCA_030713275.1,JAUOYH010000018.1,1
GCA_033001025.1,DABUWT010000143.1,0
GCA_032522325.1,DAMWDM010000046.1,0
GCA_011807985.1,AAQWRJ010000048.1,1
GCA_023877785.1,JAKXTJ010000059.1,1
GCA_020355525.1,ABDAXF010000032.1,1
GCA_031252605.1,ABMCQE010000022.1,1
GCA_037378745.1,ABMNXR010000030.1,0
GCA_013652035.1,AVRB01000087.1,0
GCA_021035065.1,JABKJR010000071.1,0
GCA_025588415.1,DAJMNC010000075.1,1
GCA_000615345.1,JHFP01000065.1,1
GCA_017180335.1,AAZETX010000068.1,1
GCA_002464705.1,ABCZDH010000019.1,0
GCA_958327115.1,CATTYN010000019.1,1
GCA_012240475.1,AAUHGI010000058.1,0
GCA_012021945.1,AARLRZ010000060.1,1
GCA_038421705.1,UEJU01000020.1,0
GCA_012467755.1,AASOYZ010000033.1,1
GCA_032827405.1,ABCEXV010000046.1,0
GCA_012451265.1,AASNYQ010000089.1,1
GCA_012503935.1,AASQYG010000037.1,1
GCA_038102085.1,ABRRXN010000036.1,1
GCA_025277635.1,PYRS01000068.1,0
GCA_012212645.1,AARZID010000034.1,1
GCA_012662325.1,AASZLJ010000064.1,1
GCA_012212645.1,AAXBYW010000050.1,0
GCA_011839185.1,JAVMQC010000022.1,0
GCA_012186685.1,AASOJL010000046.1,0
GCA_011874385.1,AARBFW010000062.1,1
GCA_032850545.1,DAEBIN010000075.1,0
GCA_028746325.1,ABKSBE010000017.1,1
GCA_012173435.1,AAZSDD010000057.1,0
GCA_015340805.1,AAXEUU010000149.1,1
GCA_011907865.1,JAMRDX010000128.1,0
GCA_023869705.1,JAMFDV010000052.1,1
GCA_958309145.1,AASVQA010000073.1,0
GCA_034508875.1,ABPNUS010000034.1,1
GCA_017775195.1,JAESNM010000065.1,1
GCA_020421725.1,ABNBUX010000033.1,0
GCA_014110965.1,AAVICR010000031.1,1
GCA_018071925.1,ABACVL010000018.1,1
GCA_963897095.1,AATIKO010000070.1,0
GCA_019677275.1,ABBZRG010000033.1,1
GCA_035895175.1,ABPXHI010000084.1,1
GCA_002519425.1,NOOD01000021.1,1
GCA_903972875.1,DACZEJ010000073.1,0
GCA_012813195.1,DAESEN010000046.1,0
GCA_012090835.1,JABEGO010000043.1,0
GCA_031732415.1,DAAYVQ010000066.1,0
GCA_029905065.1,JARXDB010000034.1,1
GCA_020290805.1,AASEUY010000075.1,0
GCA_020298765.1,ABKPIK010000040.1,0
GCA_012051635.1,AARMYK010000031.1,1
GCA_902839025.1,DABATI010000049.1,0
GCA_012648145.1,AASYTV010000034.1,1
GCA_031806195.1,ABKHOJ010000053.1,0
GCA_021054505.1,AATGYV010000088.1,0
GCA_020564705.1,WSFX01000020.1,0
GCA_020819635.1,JAJHOF010000006.1,1
GCA_030019675.1,JAASXL010000058.1,1
GCA_011829655.1,DADWQL010000062.1,0
GCA_012438185.1,CATUSX010000012.1,0
GCA_012013705.1,AARLBA010000052.1,1
GCA_012830235.1,RDWS01000061.1,0
GCA_012481075.1,AASPQZ010000095.1,1
GCA_958306255.1,ABMNGG010000044.1,0
GCA_026301435.1,DAMVUH010000057.1,0
GCA_012970005.1,AATNTX010000030.1,1
GCA_002515815.1,ABKOMT010000034.1,0
GCA_014092695.1,DABNKS010000023.1,1
GCA_031530125.1,JARIKW010000056.1,0
GCA_019111825.1,ABBCZG010000056.1,1
GCA_012015665.1,AARLET010000056.1,1
GCA_028243775.1,DANAWI010000056.1,1
GCA_019951715.1,ABCKRZ010000060.1,1
GCA_012269345.1,AASCFQ010000040.1,1
GCA_030761495.1,JACXWM010000020.1,0
GCA_012140165.1,AARTBE010000035.1,1
GCA_011831015.1,AARMTT010000075.1,0
GCA_020608135.1,ABNPTZ010000075.1,0
GCA_019339065.1,AATVEY010000031.1,0
GCA_019572535.1,ABBWND010000019.1,1
GCA_019435545.1,AAWZJU010000056.1,0
GCA_027218345.1,ABOPUV010000112.1,0
GCA_037973695.1,ABROLO010000042.1,1
GCA_000267525.2,JH700892.1,1
GCA_012278935.1,AAQXAC010000032.1,0
GCA_025091485.1,ABICLF010000031.1,1
GCA_001440655.1,LKDE01000238.1,1
GCA_002539585.1,ABDBJD010000050.1,0
GCA_026887555.1,ABJUJP010000048.1,1
GCA_032893685.1,AASYWZ010000055.1,0
GCA_033942865.1,AAWZOB010000033.1,0
GCA_032794465.1,ABNZVY010000031.1,1
GCA_027229505.1,DALOYQ010000054.1,1
GCA_020375305.1,JAKXIN010000083.1,0
GCA_029412135.1,UGFM01000002.1,0
GCA_005387065.1,ABEXHM010000033.1,0
GCA_012112115.1,AARRBJ010000042.1,1
GCA_031731715.1,ABABMO010000067.1,0
GCA_031644695.1,ABMOOR010000110.1,1
GCA_032412425.1,DAQBXS010000049.1,1
GCA_029999255.1,DAPOPO010000043.1,0
GCA_031304215.1,ABMDAS010000034.1,1
GCA_029433555.1,AATNII010000031.1,0
GCA_012162685.1,AARUQJ010000036.1,1
GCA_902846415.1,CADHCX010000169.1,1
GCA_018305065.1,ABAKWU010000021.1,1
GCA_012818995.1,AATIIW010000041.1,1
GCA_016567175.1,AAYPUG010000065.1,1
GCA_023722675.1,JAKYQP010000054.1,1
GCA_030399325.1,AAXAHP010000057.1,0
GCA_012253745.1,JHNT01000105.1,0
GCA_012345755.1,ABJFNW010000031.1,0
GCA_020416705.1,AAZSFJ010000033.1,0
GCA_023518475.1,ABOTOL010000072.1,0
GCA_014436245.1,AAVVEI010000055.1,1
GCA_012795315.1,AASLTR010000065.1,0
GCA_032736725.1,JAASNC010000057.1,0
GCA_021248665.1,ABEJIW010000029.1,1
GCA_903974605.1,JAEOPF010000057.1,0
GCA_020317895.1,ABCYXB010000049.1,1
GCA_012455225.1,AATDHA010000097.1,0
GCA_000618985.2,ABDRQI010000044.1,0
GCA_024601775.1,ABHMDP010000031.1,1
GCA_025968225.1,ABJDGM010000066.1,1
GCA_911103535.1,ABISFU010000032.1,0
GCA_012125455.1,DAOXIQ010000035.1,0
GCA_012236605.1,LIVE01000049.1,0
GCA_017740615.1,AARFUZ010000006.1,0
GCA_025374455.1,ABIKLX010000032.1,1
GCA_018357425.1,ABGKYE010000030.1,0
GCA_000947945.1,LYAA01000666.1,0
GCA_902505455.1,CABWJS010000066.1,1
GCA_004276095.2,AAAGVG020000062.1,1
GCA_023193815.1,DAHBQH010000031.1,1
GCA_031732235.1,JAVMQK010000021.1,1
GCA_029602595.1,AASHJV010000052.1,0
GCA_029362345.1,AASHXW020000047.1,0
GCA_011965695.1,AARTBE010000035.1,0
GCA_011901885.1,AATNGZ010000030.1,0
GCA_018073885.1,ABACWY010000069.1,1
GCA_032411125.1,JABXRE010000008.1,0
GCA_012684065.1,AATAMO010000052.1,1
GCA_018342595.1,AARBUW010000049.1,0
GCA_014678485.1,AAWGCK010000067.1,1
GCA_011870535.1,ABKOYB010000040.1,0
GCA_020316375.1,ABCYUB010000075.1,1
GCA_014816205.1,JAKVYQ010000010.1,0
GCA_000622715.2,JAEOKZ010000033.1,0
GCA_024132785.1,ABGXIH010000034.1,1
GCA_902846775.1,AATNGY010000035.1,0
GCA_012555805.1,AASSUW010000083.1,1
GCA_024461295.1,ABHHIO010000074.1,1
GCA_012669625.1,ABIGFX010000032.1,0
GCA_030734795.1,ABLPZM010000017.1,1
GCA_011957625.1,AARHDH010000046.1,1
GCA_017034675.1,AAYZJZ010000034.1,1
GCA_030215985.1,JASOJV010000042.1,1
GCA_015484245.1,JHHT01000060.1,0
GCA_014608775.1,DABSWO010000085.1,1
GCA_000503255.1,JHFN01000164.1,0
GCA_012417505.1,ABMEPV010000031.1,0
GCA_009768055.1,WSQL01000014.1,1
GCA_012089695.1,AARPMU010000060.1,1
GCA_002466985.1,NJLT01000063.1,1
GCA_032328355.1,ABNHGR010000049.1,1
GCA_019480025.1,RRJT01000063.1,0
GCA_012766135.1,AATKOO010000031.1,0
GCA_020342975.1,ABDAHB010000053.1,1
GCA_037487805.1,AAQZEY010000101.1,0
GCA_036458665.1,ABQDOF010000059.1,1
GCA_014143525.1,JAAMJE010000067.1,1
GCA_012881265.1,AATKUF010000045.1,1
GCA_023719855.1,JAKYUL010000038.1,1
GCA_011896435.1,AATATB010000127.1,0
GCA_002546795.1,NNYF01000067.1,1
GCA_012717635.1,AATDIE010000018.1,1
GCA_012321645.1,AASEYC010000040.1,1
GCA_011911545.1,DABDQM010000042.1,0
GCA_015156875.1,AAXDFN010000063.1,0
GCA_031593515.1,ABMMTB010000031.1,1
GCA_029286015.1,DANYUW010000061.1,1
GCA_011820125.1,ABJSPS010000029.1,0
GCA_028518125.1,ABKMNX010000032.1,1
GCA_027978975.1,JAPMBS010000046.1,1
GCA_012983395.1,RDTK01000036.1,0
GCA_033384635.1,DARAWY010000052.1,1
GCA_020170875.1,ABCSBE010000030.1,1
GCA_020352695.1,ABDATN010000032.1,1
GCA_902849205.1,DAQBXS010000049.1,0
GCA_012071785.1,AARODT010000050.1,1
GCA_022937285.1,ABFSCL010000069.1,1
GCA_028573365.1,ABKOHP010000065.1,1
GCA_011923745.1,DABSXN010000062.1,0
GCA_012024145.1,AARLUU010000133.1,1
GCA_025343045.1,ABIJYW010000030.1,1
GCA_002735005.1,ABKJHC010000034.1,0
GCA_037004885.1,JASMWD010000031.1,1
GCA_038380575.1,CATSTX010000036.1,0
GCA_011876145.1,AAVRDZ010000081.1,0
GCA_026360455.1,ABNVEP010000032.1,0
GCA_028834145.1,ABKTBJ010000035.1,1
GCA_025313875.1,DAJHPN010000052.1,1
GCA_005395705.1,BGGC01000022.1,1
GCA_000622675.2,JHGA01000021.1,1
GCA_023209875.1,DAHBXL010000068.1,1
GCA_014421265.1,AAVUBG010000079.1,1
GCA_011947945.1,AARGNU010000067.1,1
GCA_012346955.1,AATHYQ010000001.1,0
GCA_014981085.1,JACXID010000009.1,1
GCA_022664555.1,JAKSXQ010000073.1,1
GCA_021439505.1,ABNKOS010000053.1,0
GCA_012705345.1,ABCXXQ010000076.1,0
GCA_023097725.1,JALMBX010000040.1,1
GCA_012301525.1,AASFVO010000064.1,1
GCA_012574885.1,AARPMV010000042.1,0
GCA_028906935.1,ABKVCW010000032.1,1
GCA_015227025.1,AAXARG010000034.1,1
GCA_019386355.1,JAKWPF010000041.1,0
GCA_015074185.1,ABCCZF010000032.1,0
GCA_002190835.1,SJHQ01000020.1,0
GCA_018038025.1,ABACDE010000049.1,1
GCA_011894445.1,DAKURH010000048.1,0
GCA_019727735.1,JAZIPU010000018.1,0
GCA_021053865.1,JAKWUN010000017.1,0
GCA_020269625.1,DAFABE010000074.1,1
GCA_014092695.1,ABEVSO010000098.1,0
GCA_012718315.1,AATDOE010000034.1,1
GCA_014917975.1,AAVVFE010000032.1,0
GCA_033973185.1,RNCJ02000118.1,0
GCA_024146405.1,ABGYBJ010000059.1,1
GCA_017163375.1,DAOFPB010000052.1,0
GCA_011848025.1,AAQZHJ010000077.1,1
GCA_902849155.1,ABRWCY010000037.1,0
GCA_020342915.1,DAFAUR010000083.1,0
GCA_012127715.1,AARSEP010000092.1,1
GCA_020727765.1,CADECH010000048.1,0
GCA_025732575.1,ABIWIT010000047.1,1
GCA_011840185.1,DADTIZ010000070.1,0
GCA_012092175.1,DADZZC010000029.1,0
GCA_013649515.1,AATIRS010000085.1,0
GCA_012767255.1,AATFGE010000046.1,1
GCA_033696085.1,DARMMY010000050.1,1
GCA_037523015.1,ABQYUB010000023.1,1
GCA_027795535.1,AATFHL010000045.1,0
GCA_019392395.1,ABBNWV010000045.1,1
GCA_012814355.1,DAJBKZ010000013.1,0
GCA_019552885.1,ABBVDP010000084.1,1
GCA_025307555.1,ABGVVK010000040.1,0
GCA_025904205.1,AASRCL010000046.1,0
GCA_011892225.1,DABOWS010000026.1,0
GCA_024167085.1,ABGYLL010000030.1,1
GCA_025089665.1,AAWIUF010000046.1,0
GCA_012791575.1,AATGTT010000060.1,1
GCA_000752555.1,CCQT01000162.1,1
GCA_035820615.1,JAPQCG010000234.1,1
GCA_012439765.1,AASNBW010000031.1,1
GCA_026722905.1,DALXXX010000101.1,0
GCA_012023325.1,ABNEDX010000049.1,0
GCA_012736575.1,DABCUL010000059.1,1
GCA_028015855.1,ABIVVA010000155.1,0
GCA_020325075.1,ABCZKN010000092.1,1
GCA_029886725.1,DAOKUK010000018.1,1
GCA_012291245.1,ABBMMW010000029.1,0
GCA_011942945.1,AARTNY010000069.1,0
GCA_034537495.1,CATRTR010000049.1,0
GCA_031242505.1,ABJJZN010000020.1,0
GCA_036687145.1,AARREQ010000053.1,0
GCA_023363345.1,DAQSUV010000076.1,0
GCA_020385475.1,DAEBDW010000060.1,0
GCA_900518915.1,ULGF01000078.1,1
GCA_033980215.1,ABPFBO010000031.1,1
GCA_012659825.1,AARANC010000030.1,0
GCA_005380965.1,ABIHMI010000032.1,0
GCA_011827235.1,DAPQZP010000034.1,0
GCA_011889305.1,DABTHE010000048.1,0
GCA_011920625.1,JHNT01000105.1,0
GCA_020375385.1,ABRWGK010000037.1,0
GCA_011969085.1,AARILK010000048.1,1
GCA_024568325.1,AAQWGK010000061.1,0
GCA_012825815.1,AARSEF010000105.1,0
GCA_014436445.1,AAVVDY010000088.1,1
GCA_021165325.1,ABEFUH010000036.1,1
GCA_014976765.1,ABNMDL010000036.1,0
GCA_020823395.1,ABJMBD010000048.1,0
GCA_023734435.1,ABLTKB010000031.1,0
GCA_012588105.1,ABGWOM010000109.1,0
GCA_903977105.1,CAJDFT010000047.1,1
GCA_020320535.1,ABCZBR010000078.1,1
GCA_015480825.1,AAXGJL010000082.1,1
GCA_002486775.1,AATNCQ010000042.1,0
GCA_012902005.1,AARQCX010000041.1,0
GCA_013352685.1,SNJG01000032.1,1
GCA_033648125.1,ABAPZL010000049.1,0
GCA_015167155.1,AAWWIH010000146.1,1
GCA_002923595.1,JAHKGI010000034.1,0
GCA_012304225.1,SAHW01000049.1,0
GCA_023814785.1,ABGQVH010000059.1,1
GCA_023771105.1,ABACFZ010000069.1,0
GCA_025427315.1,DAJJSJ010000074.1,1
GCA_012717695.1,JABKFL010000012.1,0
GCA_015118315.1,DABZPM010000077.1,1
GCA_946413875.1,CAMKMJ010000036.1,1
GCA_013745645.1,AAULSN010000020.1,1
GCA_002971255.1,AATIIW010000041.1,0
GCA_020363585.1,ABDBGY010000066.1,1
GCA_029413075.1,DAOBYM010000042.1,1
GCA_023210135.1,AAVVHU010000068.1,0
GCA_020364805.1,AATDBT010000031.1,0
GCA_012059965.1,ABLYGM010000065.1,0
GCA_014709775.1,DABVJC010000059.1,0
GCA_012792235.1,AATGUK010000108.1,1
GCA_015118355.1,DABZPQ010000082.1,1
GCA_002456855.1,KE375503.1,0
GCA_023971275.1,AATTHN010000060.1,0
GCA_028606345.1,ABPIWM010000061.1,0
GCA_029407645.1,ABLEVZ010000056.1,1
GCA_004233865.2,AAADPJ020000040.1,1
GCA_018167255.1,AAWHOT010000031.1,0
GCA_012391115.1,AASJWJ010000030.1,1
GCA_012708025.1,AATCAS010000031.1,1
GCA_023592475.1,AARDKZ010000033.1,0
GCA_025043615.1,ABGMHM010000050.1,0
GCA_020360415.1,AATGFT010000047.1,0
GCA_012156245.1,DADRZG010000062.1,0
GCA_024195115.1,DAJXJS010000064.1,0
GCA_008273915.1,DAEWGY010000041.1,0
GCA_020386435.1,ABDCVR010000029.1,1
GCA_012225525.1,AASAFJ010000011.1,1
GCA_023878705.1,JAKXVB010000005.1,1
GCA_030007345.1,AAWXUO010000038.1,0
GCA_020801175.1,DAOCRZ010000048.1,0
GCA_012483775.1,AASPVX010000040.1,1
GCA_026260295.1,DAPPVM010000100.1,0
GCA_013128255.1,AATTHN010000060.1,1
GCA_014807945.1,JHFP01000113.1,0
GCA_015597965.1,AVQY01000020.1,0
GCA_027829095.1,NJSH01000051.1,0
GCA_012739205.1,AATDBT010000031.1,1
GCA_012667865.1,AAYVCA010000034.1,0
GCA_012125595.1,AARRZP010000048.1,1
GCA_020315135.1,ABBOSV010000101.1,0
GCA_015371725.1,AAXEZW010000035.1,1
GCA_012373215.2,AASIXU020000056.1,1
GCA_000781235.1,AAVVIS010000055.1,0
GCA_011803345.1,ABETGF010000030.1,0
GCA_012699825.1,AATBLE010000033.1,1
GCA_002228875.1,ABCWHW010000077.1,0
GCA_031664335.1,ABMPOL010000052.1,1
GCA_012323205.1,JAASPI010000030.1,0
GCA_012071665.1,AARODP010000079.1,1
GCA_020241905.1,ABCUYK010000081.1,1
GCA_033730595.1,ABOYSU010000040.1,1
GCA_029903615.1,AASMVB010000059.1,0
GCA_013074805.1,ABQQUP010000068.1,0
GCA_011909585.1,AASBQP010000032.1,0
GCA_024784765.1,DAFLJA010000056.1,0
GCA_012782975.1,AATGGK010000066.1,1
GCA_002573075.1,MOXW01000029.1,1
GCA_031631715.1,ABMNRO010000064.1,1
GCA_018749975.1,DARNVE010000064.1,0
GCA_032297675.1,ABNGJL010000031.1,1
GCA_012441065.1,AATHYQ010000001.1,0
GCA_012894355.1,AATLQB010000070.1,1
GCA_012882475.1,AARSBD010000032.1,0
GCA_018175035.1,DAFARZ010000042.1,0
GCA_024394335.1,ABHFPK010000034.1,1
GCA_032310895.1,JAYXEA010000059.1,0
GCA_012646845.1,AASYRX010000050.1,1
GCA_028143385.1,ABKIJU010000033.1,1
GCA_018769505.1,ABASXH010000025.1,1
GCA_017686295.1,AAZSFJ010000033.1,1
GCA_012590065.1,NJYO01000054.1,0
GCA_022944515.1,ABFSOV010000032.1,1
GCA_023881785.1,JAKYDK010000059.1,1
GCA_014975445.1,ABKCRU010000033.1,0
GCA_023861885.1,JAKXFP010000122.1,1
GCA_012322665.1,AASGLV010000029.1,1
GCA_018683135.1,CATTYN010000054.1,0
GCA_011827235.1,AAQXVK010000030.1,1
GCA_033016745.1,ABOHYN010000045.1,1
GCA_002290955.1,ABDUCM010000049.1,0
GCA_017190435.1,AAZFFT010000030.1,1
GCA_012898745.1,AATLXN010000073.1,1
GCA_020384915.1,CAWNLE010000243.1,0
GCA_958336035.1,RROO01000055.1,0
GCA_012091695.1,AAYPAM010000069.1,0
GCA_035819935.1,CAMJTI010000050.1,0
GCA_037635095.1,AARBCS010000055.1,0
GCA_025162115.1,JAVMPU010000022.1,0
GCA_012159225.1,AARUJX010000083.1,1
GCA_035884515.1,ABPWMX010000067.1,1
GCA_025699765.1,DAJOYH010000027.1,1
GCA_012072785.1,AAROFY010000106.1,1
GCA_025042575.1,AATIVN010000049.1,0
GCA_026723345.1,DAKRZZ010000069.1,1
GCA_015731065.1,JADIHL010000071.1,1
GCA_958313835.1,ADJB01000024.1,0
GCA_021047625.1,DAFGMN010000015.1,1
GCA_018357425.1,DAEBMQ010000074.1,1
GCA_012087385.1,AARPGJ010000068.1,1
GCA_028455705.1,CAUIOA010000047.1,0
GCA_011855945.1,ABDQFU010000080.1,0
GCA_013686235.1,AASMOA010000067.1,0
GCA_009820535.1,CATTUV010000042.1,0
GCA_001572135.1,LPYS01000007.1,1
GCA_032640925.1,ABNTJP010000067.1,1
GCA_002464205.1,AAYYRR010000031.1,0
GCA_014855825.1,AASNAC010000057.1,0
GCA_012322665.1,DABPNW010000091.1,0
GCA_025318345.1,ABIIZU010000035.1,1
GCA_018007995.1,ABAAWH010000113.1,1
GCA_015118335.1,DABZPK010000075.1,1
GCA_028639475.1,ABKQLV010000042.1,1
GCA_019549115.1,ABBUYG010000051.1,1
GCA_012323965.1,ABIBFL010000048.1,0
GCA_011876145.1,AARALJ010000032.1,0
GCA_020292585.1,ABCXNL010000045.1,1
GCA_012257225.1,AASBKV010000067.1,1
GCA_011801965.1,AAQWGW010000049.1,1
GCA_031884855.1,DAPPRR010000066.1,1
GCA_002972235.1,JZNP01000102.1,1
GCA_012459545.1,AASOJL010000046.1,1
GCA_019566945.1,ABCYCT010000119.1,0
GCA_012924545.1,ABAOYQ010000093.1,0
GCA_012588825.1,AASVBV010000041.1,1
GCA_014906225.1,AAWLPI010000070.1,1
GCA_002461145.1,AATCWC010000051.1,0
GCA_025325345.1,DAJHVU010000076.1,1
GCA_911104705.1,ABQCPG010000033.1,0
GCA_020352175.1,ABDASZ010000094.1,1
GCA_030723685.1,ABLPVV010000036.1,1
GCA_023623495.1,ABGKWK010000062.1,1
GCA_031233455.1,DAPHJR010000107.1,1
GCA_013731835.1,AAUKVE010000073.1,1
GCA_020453495.1,ABDFEQ010000027.1,1
GCA_025043535.1,JAOYGE010000031.1,0
GCA_012712605.1,AAZDIA010000017.1,0
GCA_012008725.1,AARKRM010000036.1,1
GCA_034543735.1,ABBIFY010000055.1,0
GCA_023720755.1,DAHBHT010000057.1,0
GCA_019844915.1,ABCGCU010000031.1,1
GCA_024831165.1,ABHRJK010000075.1,1
GCA_011904145.1,AARDTV010000089.1,1
GCA_012886255.1,AATLDC010000065.1,1
GCA_014785445.1,CAJVIR010000071.1,0
GCA_003739485.2,BBUT01000051.1,0
GCA_902844685.1,CADGWI010000101.1,1
GCA_020548185.1,JAKXTJ010000059.1,0
GCA_024670795.1,ABHNTD010000050.1,1
GCA_026333175.1,DAKBAV010000092.1,1
GCA_009895905.1,AAREFW010000078.1,0
GCA_012415505.1,AASLGK010000064.1,1
GCA_008274065.1,SJFT01000018.1,1
GCA_009761865.1,WSGW01000019.1,1
GCA_012121055.1,RUOF02000037.1,0
GCA_018995085.1,ABAYWJ010000028.1,1
GCA_028917145.1,ABKVSJ010000063.1,1
GCA_021766305.1,DAFTJV010000091.1,1
GCA_014690745.1,DAOYAI010000094.1,0
GCA_022545795.1,AASFPH010000090.1,0
GCA_011817545.1,AAQXCY010000032.1,1
GCA_958337355.1,CATVLX010000024.1,1
GCA_011901095.1,AARDYL010000059.1,1
GCA_036928445.1,ABQLVB010000080.1,1
GCA_020379605.1,ABRBGE010000034.1,0
GCA_026214395.1,JABAWD010000005.1,0
GCA_907163955.1,JAIQRQ010000081.1,0
GCA_012122545.1,AARRTD010000039.1,1
GCA_016971095.1,ABMRPE010000055.1,0
GCA_031615535.1,LODF01000152.1,0
GCA_014249555.1,AAVMCJ010000055.1,1
GCA_006238525.1,SQCF01000253.1,1
GCA_023760595.1,ABGOHO010000071.1,1
GCA_026722665.1,DAKRYW010000040.1,1
GCA_012092035.1,AAVNYC010000080.1,0
GCA_003362455.1,ABNLGH010000035.1,0
GCA_961210635.1,CAUIRZ010000033.1,1
GCA_020352695.1,AAWTSV010000037.1,0
GCA_037643635.1,BEOT01000065.1,0
GCA_033449685.1,ABOREP010000044.1,1
GCA_026089935.1,ABJGSV010000048.1,1
GCA_012125035.1,AARRWZ010000043.1,1
GCA_014093735.1,ABPAKD010000032.1,0
GCA_012751655.1,DABSXQ010000105.1,0
GCA_025795745.1,JAPUOT010000038.1,0
GCA_032444375.1,ABNMBW010000039.1,1
GCA_020956455.1,ABDYVK010000044.1,1
GCA_012216705.1,ABHMPI010000045.1,0
GCA_003767465.2,RNCJ02000118.1,1
GCA_028651615.1,JAPTPT010000019.1,1
GCA_023212115.1,DADSLW010000058.1,0
GCA_012115155.1,DABVCF010000024.1,0
GCA_020547585.1,ABHHMD010000043.1,0
GCA_036910455.1,NMAZ01000065.1,0
GCA_000778395.1,JSKF01000018.1,1
GCA_012020425.1,AASXLU010000020.1,0
GCA_012241685.1,AASAJR010000058.1,1
GCA_029318175.1,AYQF01000056.1,0
GCA_026255345.1,AATCXK010000042.1,0
GCA_017081275.1,JAFIIB010000009.1,1
GCA_012112875.1,ABJREW010000052.1,0
GCA_011815925.1,DAPHJR010000107.1,0
GCA_013763935.1,AAUMZF010000033.1,1
GCA_012831055.1,AARCHH010000030.1,0
GCA_002541045.1,AARLYG010000032.1,0
GCA_016389835.1,JAEJVD010000044.1,1
GCA_029446815.1,JAKXTK010000006.1,0
GCA_011847085.1,AATDOF010000032.1,0
GCA_011865545.1,AAWTSV010000037.1,0
GCA_023720175.1,JAKYVB010000048.1,1
GCA_020304625.1,JHFS01000076.1,0
GCA_012060505.1,AAWBPC010000048.1,0
GCA_013588295.1,AAUDPT010000032.1,1
GCA_025489715.1,ABNVGM010000009.1,0
GCA_033146055.1,DABRKS010000071.1,0
GCA_018094485.1,ABADZR010000060.1,1
GCA_030723805.1,ABLPWC010000037.1,1
GCA_012409925.1,JARILJ010000063.1,0
GCA_031731855.1,JAVMPR010000021.1,1
GCA_037643635.1,JBBGST010000062.1,1
GCA_028606345.1,ABKPGW010000061.1,1
GCA_019923185.1,DAMTWV010000060.1,0
GCA_020190805.1,ABCSIS010000034.1,1
GCA_009823315.1,CAJDAT010000055.1,0
GCA_032654195.1,ABNTWO010000056.1,1
GCA_011931705.1,AARFII010000031.1,1
GCA_034197025.1,AVRB01000087.1,0
GCA_019844455.1,CATXQJ010000032.1,0
GCA_013682455.1,AAUHVD010000030.1,1
GCA_014271745.1,ABFHBO010000102.1,0
GCA_023895275.1,AAXDRT010000032.1,0
GCA_003338535.1,DAJHMS010000030.1,0
GCA_031482105.1,ABMIFI010000033.1,1
GCA_013422455.1,PXHH01000038.1,1
GCA_002155565.1,JACXID010000009.1,0
GCA_012324845.1,ABBAKL010000063.1,0
GCA_003113075.1,BDHR01000177.1,1
GCA_012590465.1,AASVFM010000033.1,1
GCA_012020145.1,AARPEL010000037.1,0
GCA_012115115.1,AAVZIU010000090.1,0
