host_accession	phage_contig	interaction
GCA_032297655.1	ABCGVC010000081.1	0
GCA_014816205.1	JZDK01000058.1	0
GCA_012325075.1	JZQG01000013.1	0
GCA_014709535.1	ABLYDB010000038.1	0
GCA_020819635.1	ABLMNL010000052.1	0
GCA_031584375.1	DAPKYA010000057.1	1
GCA_028917145.1	JXVU01000057.1	0
GCA_021489295.1	JANSZG010000063.1	0
GCA_027553225.1	DACZAO010000076.1	0
GCA_019996265.1	DAEWME010000039.1	1
GCA_017023195.1	AARLOH010000089.1	0
GCA_000939955.1	LM996662.1	1
GCA_008756995.1	AARULK010000107.1	0
GCA_014437165.1	DABWRA010000187.1	0
GCA_001885025.1	MPHA01000089.1	1
GCA_031230065.1	CATUPW010000043.1	0
GCA_958327115.1	JAOWSW010000200.1	0
GCA_012795775.1	AATGYV010000049.1	1
GCA_012087275.1	AARPIP010000042.1	1
GCA_902708955.2	CACSVA020000034.1	1
GCA_014436445.1	AAVVGC010000025.1	0
GCA_012035705.1	ABAFQC010000073.1	0
GCA_014855825.1	ABDBDP010000017.1	0
GCA_019579025.1	CAJPVV010000007.1	0
GCA_009880745.1	WSKE01000024.1	1
GCA_000259135.1	RRFR01000055.1	0
GCA_015707615.1	ABROFG010000051.1	0
GCA_031303175.1	NLRB01000048.1	0
GCA_900016115.1	FBUU01000051.1	1
GCA_036876905.1	AATAOA010000032.1	0
GCA_958304905.1	CATQRX010000058.1	1
GCA_958337245.1	VKMP01000056.1	0
GCA_000503255.1	ABEHZI010000034.1	0
GCA_034534135.1	JAXQWS010000201.1	1
GCA_020910645.1	NJSI01000045.1	0
GCA_018429125.1	ABMNXN010000055.1	0
GCA_019567115.1	NENR01000087.1	0
GCA_958331625.1	CATUPW010000043.1	1
GCA_000267025.1	AKMN01000024.1	1
GCA_012718655.1	AMTN01000229.1	0
GCA_031784415.1	JADDSM010000019.1	0
GCA_014709535.1	DABUWY010000039.1	1
GCA_012038515.1	AARMCB010000060.1	1
GCA_012886255.1	AATLDC010000069.1	1
GCA_958331625.1	AASPHT010000115.1	0
GCA_911103695.1	AAVFWD010000051.1	0
GCA_012025425.1	ABQDOF010000035.1	0
GCA_001520115.1	AARUID010000097.1	0
GCA_000632655.1	AATLYN010000056.1	0
GCA_001572295.1	LPYM01000272.1	1
GCA_001617195.1	JAPMGI010000047.1	0
GCA_012989485.1	ABIGFX010000032.1	0
GCA_012325075.1	AARRFB010000029.1	0
GCA_019003105.1	DAERCZ010000071.1	1
GCA_020286615.1	AATLDC010000069.1	0
GCA_012500315.1	AASQUJ010000034.1	1
GCA_902709635.2	CACSWU020000029.1	1
GCA_014436445.1	NEOQ01000068.1	0
GCA_958331625.1	ABMDIU010000035.1	0
GCA_011958825.1	AARHOL010000085.1	1
GCA_958401615.1	ABAFQC010000095.1	0
GCA_012401065.1	AAVVNK010000072.1	0
GCA_012390075.1	JAYWMW010000080.1	0
GCA_017724905.1	ABMOXR010000040.1	0
GCA_029283815.1	AARLUU010000133.1	0
GCA_002457965.1	ABACDE010000049.1	0
GCA_014436445.1	DAFLMQ010000033.1	0
GCA_002099625.1	AAQWOJ010000068.1	0
GCA_023200455.1	DAHBTS010000050.1	1
GCA_012614265.1	AASWTP010000030.1	1
GCA_025881525.1	DAJQUA010000077.1	1
GCA_014330215.1	AARGLC010000029.1	0
GCA_026207975.1	DAJXAP010000059.1	1
GCA_026227745.1	JAMGVL010000043.1	1
GCA_001592505.1	CATQRX010000058.1	0
GCA_001572135.1	NJSI01000045.1	0
GCA_019567115.1	ABBWEE010000015.1	1
GCA_002464705.1	DAPYVG010000050.1	0
GCA_000267505.2	ABAECE010000050.1	0
GCA_012542535.1	ABOUNR010000034.1	0
GCA_958337245.1	CATVLJ010000042.1	1
GCA_014765005.1	JAXQWS010000201.1	0
GCA_902840585.1	CADGGW010000061.1	1
GCA_012145005.1	AARTJH010000035.1	1
GCA_012989485.1	AATOEO010000076.1	1
GCA_000616665.2	CACSWU020000029.1	0
GCA_001893615.1	AARORA010000049.1	0
GCA_012982735.1	CACSVA020000034.1	0
GCA_021082665.1	ABJFLQ010000030.1	0
GCA_002110545.1	ADJB01000024.1	1
GCA_002110545.1	ADJB01000022.1	1
GCA_002518125.1	NODD01000048.1	1
GCA_023097745.1	JAMRDP010000063.1	0
GCA_012601075.1	ABCXRN010000024.1	0
GCA_017816135.1	WSKC01000017.1	0
GCA_002510965.1	CATTYN010000064.1	0
GCA_020112335.1	ABCQGH010000027.1	1
GCA_002973135.1	AAVVDY010000054.1	0
GCA_002518125.1	CADHQE010000142.1	0
GCA_019147165.1	AARPCH010000031.1	0
GCA_000418735.2	KE375503.1	1
GCA_001012275.1	ABDSUT010000055.1	0
GCA_016724445.1	LOGX01000177.1	0
GCA_012808135.1	AATATM010000060.1	0
GCA_029502805.1	DAOERP010000070.1	1
GCA_022664555.1	AARGLC010000029.1	0
GCA_001607515.1	LOIG01000001.1	1
GCA_018175035.1	JBBPFW010000028.1	0
GCA_000615415.2	JHFN01000164.1	1
GCA_022118895.1	AAZYYJ010000058.1	0
GCA_026722505.1	DAKRYO010000066.1	1
GCA_002971255.1	JZME01000038.1	1
GCA_026411685.1	JANSZG010000063.1	1
GCA_012831055.1	AATJFY010000073.1	1
GCA_025754145.1	JAOWSW010000200.1	1
GCA_002972075.1	NMID01000081.1	0
GCA_023719455.1	ABCPTO010000068.1	0
GCA_000462645.2	AARULK010000107.1	0
GCA_018175035.1	ABEHZI010000034.1	0
GCA_036583625.1	ABQGFD010000070.1	1
GCA_005387065.1	BFQK01000140.1	1
GCA_025622985.1	ABOLFG010000032.1	0
GCA_013537955.1	AOEL01000083.1	0
GCA_900195515.1	AATLDC010000065.1	0
GCA_958337845.1	ABIVDU010000069.1	0
GCA_012474735.1	AATEUD010000099.1	0
GCA_001650565.1	JZDK01000058.1	1
GCA_002156555.1	AATPVV010000050.1	0
